index,x,y,z,color,lum,absmag,appmag,distly,distly_datetime,date
3292,-3.1962,4.9944,-0.5244,0.54,1.13614,4.59,3.46,19.41,7084.65,6/16/95
72029,5.9244,-0.1612,0.7016,1.137,0.08122,7.45,6.33,19.46,7102.9,5/29/95
99894,-0.2026,3.2559,-4.9997,1.542,0.00708,10.1,8.98,19.46,7102.9,5/29/95
71969,5.9394,-0.1782,0.7168,0.991,0.51541,5.44,4.33,19.51,7121.15,5/10/95
84525,5.1699,0.4739,-3.1099,0.991,0.21172,6.41,5.32,19.73,7201.45,2/19/95
13412,-1.1147,-3.1923,-5.0288,0.82,0.56354,5.35,4.26,19.76,7212.4,2/8/95
84351,4.4549,-2.5959,-3.2739,0.706,1.10089,4.62,3.55,19.91,7267.15,12/15/94
60761,4.149,-1.641,4.1829,1.677,0.00086,12.39,11.32,19.94,7278.1,12/4/94
74136,6.1722,-0.2845,-0.1894,1.542,0.00189,11.53,10.49,20.15,7354.75,9/19/94
74137,6.1722,-0.284,-0.19,1.542,0.00082,12.43,11.39,20.15,7354.75,9/19/94
38687,-4.3937,1.1828,4.1945,1.416,0.02613,8.68,7.64,20.17,7362.05,9/11/94
84717,5.1839,-0.4712,-3.3768,1.416,0.01938,9.01,7.97,20.23,7383.95,8/21/94
98740,-0.7224,4.7915,-3.9437,1.822,0.00289,11.07,10.05,20.37,7435.05,6/30/94
38690,-4.4515,1.1985,4.2504,0.991,0.02539,8.71,7.7,20.44,7460.6,6/5/94
63946,4.7754,-0.4952,4.0309,1.748,0.0018,11.58,10.57,20.44,7460.6,6/5/94
71758,1.6371,4.8481,3.7132,1.137,0.00586,10.31,9.31,20.61,7522.65,4/4/94
29658,-5.9787,0.1093,2.1654,1.748,0.00069,12.63,11.65,20.73,7566.45,2/19/94
46399,1.9248,-6.1031,0.7213,-0.63,0.00068,12.65,11.69,20.99,7661.35,11/16/93
70618,5.9449,1.1611,2.3447,1.677,0.00067,12.67,11.73,21.17,7727.05,9/11/93
97444,-2.2171,6.1268,-0.364,1.038,0.19555,6.5,5.57,21.27,7763.55,8/6/93
68630,0.5709,4.7966,4.4709,1.542,0.00298,11.04,10.13,21.46,7832.9,5/29/93
45946,-2.2985,-1.6959,5.9768,1.609,0.00331,10.92,10.03,21.6,7884,4/8/93
61956,2.9543,1.2593,5.8798,0.82,0.53225,5.41,4.54,21.84,7971.6,1/10/93
90179,2.1564,5.7866,-2.7092,1.677,0.0026,11.19,10.33,21.98,8022.7,11/20/92
97056,2.5778,0.6333,-6.216,-0.63,0.00043,13.13,12.28,22.03,8040.95,11/2/92
96300,0.277,5.4032,-4.2561,1.542,0.01241,9.49,8.68,22.44,8190.6,6/5/92
72226,6.8984,-0.9891,0.1734,1.086,0.16315,6.69,5.91,22.73,8296.45,2/20/92
